time_s,g5_pitch,ahrs_pitch,accel_pitch,raw_accel_pitch,gps_longitudinal_accel_mps2,accel_magnitude_mps2,accel_sample_accepted,accel_sample_age_ms,gps_longitudinal_compensation_valid,error
636.881163,6.140000,6.453448,17.703638,-4.554274,-3.656218,7.049697,0,21,0,0.313448
637.081855,6.300000,7.035585,6.117195,-4.764083,-1.503586,10.202259,1,11,1,0.735585
637.280626,6.450000,7.014885,1.326414,-8.550544,-1.632731,16.212732,0,118,0,0.564885
637.486647,6.630000,7.645114,-0.794458,-11.459762,-1.457108,5.958843,0,123,0,1.015114
637.683651,6.650000,9.301128,-2.471410,-11.952583,-1.088769,12.012009,0,100,0,2.651128
637.884476,6.540000,9.040161,-1.090057,-8.053146,-2.083686,13.308967,0,77,0,2.500161
638.082512,6.460000,8.952408,4.332268,-8.322507,-1.862744,9.036468,1,15,1,2.492408
638.297511,6.480000,8.560229,-2.988381,-10.743801,-1.308152,13.284403,0,56,0,2.080229
638.486663,6.460000,8.322347,0.121420,-8.665289,-1.308152,9.492023,1,9,1,1.862347
638.687241,6.530000,8.185939,-2.356490,-9.946940,-1.133103,15.395124,0,112,0,1.655939
638.883648,6.770000,7.936489,2.894727,-8.309725,-1.447200,12.083590,0,159,0,1.166489
639.083651,6.940000,8.440113,5.848539,-6.729546,-0.931858,7.961444,0,28,0,1.500113
639.284507,6.960000,8.458848,4.730654,-2.954193,-1.177544,8.530643,1,14,1,1.498848
639.480480,6.830000,8.685446,7.008485,-0.515408,-1.398201,8.142507,0,94,0,1.855446
639.680613,6.690000,6.984617,8.173924,-0.596733,-0.926844,4.589541,0,125,0,0.294617
639.880446,6.500000,6.819269,11.346004,-1.967057,-2.138415,8.222363,0,37,0,0.319269
640.082524,6.280000,6.159575,3.947260,-2.118249,-0.957634,8.489159,1,0,1,-0.120425
640.281560,6.070000,6.208625,4.337626,-4.873772,-0.570586,17.975094,0,108,0,0.138625
640.484768,5.780000,5.395046,5.919008,-3.021621,-1.389855,8.321128,1,0,1,-0.384954
640.688506,5.440000,5.092180,-1.047586,-3.638297,-1.140530,5.679442,0,166,0,-0.347820
640.884783,5.060000,4.747940,4.615199,-2.594061,-0.760382,9.420049,1,10,1,-0.312060
641.082474,4.750000,5.524753,2.565114,-2.776819,-0.540563,6.292933,0,53,0,0.774753
641.280495,4.440000,4.829269,-0.324630,-3.672674,-0.687622,6.043931,0,61,0,0.389269
641.485094,4.000000,4.996206,0.971632,-3.303661,-0.687622,11.913438,0,49,0,0.996206
641.684651,3.560000,5.008492,0.871339,-1.565056,-0.725661,16.485750,0,145,0,1.448492
641.881613,2.860000,5.690165,0.871339,-1.565056,-0.223087,4.638549,0,335,0,2.830165
642.084668,2.170000,4.911877,-0.853989,-3.446264,-0.432364,10.854943,1,7,1,2.741877
642.281777,1.420000,4.134742,-0.189465,-0.984581,-0.123625,6.984737,0,31,0,2.714742
642.484499,0.640000,4.090227,-0.828723,-1.553922,-0.112805,11.900840,0,106,0,3.450227
642.683952,-0.210000,3.664903,4.427866,3.331165,0.079980,11.891963,0,73,0,3.874903
642.882642,-0.960000,2.020706,3.797627,4.340950,0.034309,5.052422,0,64,0,2.980706
643.080803,-1.710000,-0.295671,3.797627,4.340950,0.138698,7.662104,0,266,0,1.414329
643.281540,-2.490000,-0.297422,1.773022,2.695730,0.036717,10.160068,1,1,1,2.192578
643.480903,-3.380000,-1.728200,1.773022,2.695730,0.130154,4.810298,0,202,0,1.651800
643.717019,-4.440000,-1.071065,1.674922,2.336828,0.300187,9.099092,1,81,1,3.368935
643.895648,-5.600000,-1.583630,1.421734,3.372930,0.200825,4.765888,0,72,0,4.016370
644.084788,-6.720000,-3.291475,1.421734,3.372930,-0.038566,7.192255,0,257,0,3.428525
644.280492,-7.780000,-2.460449,1.801223,1.548893,0.271590,7.924497,0,164,0,5.319551
644.495515,-8.820000,-3.807299,1.801223,1.548893,0.693874,6.106588,0,376,0,5.012700
644.690317,-9.850000,-4.334752,1.624427,2.688686,0.392778,12.619925,0,120,0,5.515249
644.881556,-10.830000,-5.903689,-12.832975,-2.849030,0.415370,7.614202,0,80,0,4.926311
645.080578,-11.770000,-6.163569,-6.093518,-0.967603,0.557601,9.189089,1,11,1,5.606431
645.282508,-12.650000,-8.686541,-3.065834,0.397736,0.600014,7.434974,0,129,0,3.963459
645.485826,-13.110000,-8.945364,-3.065834,0.397736,0.988763,3.136364,0,329,0,4.164636
645.710920,-13.420000,-9.390776,-1.701055,1.041359,1.351387,7.721849,0,206,0,4.029224
645.882779,-13.700000,-9.059060,-5.406396,1.796302,1.143369,11.831636,0,21,0,4.640940
646.093509,-13.970000,-8.966775,-4.439710,4.367153,1.349532,9.520045,1,16,1,5.003225
646.282476,-14.230000,-8.526157,-6.256090,2.587362,1.460142,4.035184,0,152,0,5.703842
646.484751,-14.500000,-7.760843,-8.610081,-0.990138,1.118304,13.209698,0,19,0,6.739157
646.718916,-14.690000,-7.898886,-8.610081,-0.990138,1.298407,12.868816,0,111,0,6.791113
646.881091,-14.730000,-7.831270,-8.610081,-0.990138,2.084882,9.746691,1,2,0,6.898730
647.079818,-14.760000,-8.009734,-8.610081,-0.990138,1.050908,4.607036,0,199,0,6.750266
647.286648,-14.780000,-7.750241,-8.610081,-0.990138,1.425754,9.654716,1,0,0,7.029759
647.487634,-14.830000,-6.498978,-8.610081,-0.990138,1.541079,17.313860,0,51,0,8.331022
647.728224,-15.000000,-7.854506,-8.610081,-0.990138,2.160182,11.941453,0,207,0,7.145494
647.889505,-15.130000,-9.464531,-21.402496,-7.997610,1.355041,3.796092,0,129,0,5.665469
648.081558,-15.070000,-8.383753,-16.444836,-7.796716,1.399981,18.130220,0,72,0,6.686247
648.280572,-14.900000,-9.780152,-16.191494,-7.405895,1.634861,18.280796,0,57,0,5.119847
648.485272,-14.900000,-11.384249,-17.110714,-10.385398,1.086309,9.994703,1,0,1,3.515751
648.728918,-14.930000,-10.086590,-18.676155,-11.981283,1.801865,5.925509,0,245,0,4.843410
648.882729,-15.100000,-9.251312,-18.676155,-11.981283,1.463847,7.481823,0,378,0,5.848688
649.081707,-15.130000,-9.662275,-25.215221,-16.384518,1.463847,7.536579,0,146,0,5.467725
