time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
120.885655,0.490000,0.770013,0.870610,nan,-4.449260,-0.750825,0.870610,-4.219087,0.870610,6.626371,5.856358,3.519075,1,0.280013
121.081392,0.350000,0.117912,0.940338,nan,-11.382652,-0.653628,0.940338,-5.968206,0.940338,5.349469,5.231557,0.919366,1,-0.232088
121.282483,0.170000,0.055527,0.796906,nan,-10.186907,0.246815,-2.650072,-8.617445,-2.650072,6.980443,6.924917,4.223334,1,-0.114473
121.483572,0.070000,-0.177615,0.755372,nan,-15.923147,1.271612,0.755372,-10.899712,0.755372,4.385454,4.563069,2.692890,1,-0.247615
121.686486,0.050000,0.232303,0.733816,nan,-15.525580,1.060073,-2.647648,-8.453661,-2.647648,4.074685,3.842382,0.197660,1,0.182303
121.901654,0.140000,0.349395,0.796344,nan,-4.460635,0.310780,-3.538268,-10.725486,-3.538268,5.330430,4.981035,1.091740,1,0.209395
122.088643,0.230000,0.517163,0.708340,nan,-9.909346,0.249853,0.708340,-10.725486,0.708340,4.508781,3.991619,1.952113,1,0.287163
122.288849,0.280000,1.111462,0.784451,nan,9.323032,-0.419641,0.784451,-10.725486,0.784451,6.529107,5.417645,0.614383,1,0.831462
122.482707,0.320000,1.662727,0.677541,nan,-7.583008,-0.610970,0.677541,-10.725486,0.677541,5.136386,3.473659,0.717080,1,1.342727
122.683529,0.400000,-0.446233,0.682232,nan,16.571232,0.888688,0.682232,-8.537444,0.682232,8.379634,8.825867,2.033934,1,-0.846233
122.887250,0.430000,-0.551172,0.641959,nan,12.065855,0.234800,-2.904271,-8.865573,-2.904271,7.415378,7.966550,2.395419,1,-0.981172
123.082427,0.460000,-0.968071,0.635468,nan,13.422426,1.066745,0.635468,-5.268604,0.635468,8.198608,9.166679,1.043938,1,-1.428071
123.282496,0.560000,-0.595564,0.579182,nan,29.282701,0.017627,-0.696694,-3.189691,-0.696694,10.168629,10.764193,3.673498,1,-1.155564
123.483559,0.640000,-0.338344,0.631145,nan,13.989550,0.074465,1.354070,1.824540,1.354070,9.387741,9.726085,4.001140,1,-0.978344
123.681385,0.710000,0.149731,0.685433,nan,14.016138,0.186478,2.882839,5.493514,2.882839,8.801218,8.651487,1.097732,1,-0.560269
123.895514,0.730000,-0.670420,0.718132,nan,12.253616,2.169740,0.742249,2.055751,0.742249,9.465135,10.135555,1.119101,1,-1.400420
124.085484,0.730000,0.327654,0.830763,nan,37.980915,2.321878,0.830763,-5.579870,0.830763,13.783485,13.455832,3.554286,1,-0.402346
124.282497,0.630000,-0.851580,0.753669,nan,15.534348,2.021726,0.753669,-4.729813,0.753669,10.536244,11.387825,3.638600,1,-1.481580
124.493507,0.520000,-1.752287,0.848406,nan,21.290466,1.845385,0.848406,-6.970290,0.848406,11.218761,12.971048,5.621906,1,-2.272287
124.694733,0.340000,-1.130547,0.787183,nan,22.760866,2.109680,-2.165610,-7.381982,-2.165610,12.812337,13.942884,4.496057,1,-1.470547
124.892415,0.150000,-1.427748,0.742561,nan,28.969271,2.463969,0.742561,-10.942863,0.742561,12.287473,13.715221,4.317766,1,-1.577748
125.084799,-0.010000,-1.541483,0.699878,nan,1.868901,1.613672,0.686422,-10.568300,0.686422,8.030080,9.571563,4.482132,1,-1.531483
125.282589,-0.140000,-0.819256,0.661209,nan,7.970716,-0.151495,0.699878,-7.670149,0.699878,9.447622,10.266878,2.838894,1,-0.679256
125.485640,-0.270000,-2.263937,0.623260,nan,-11.857994,0.429619,-3.790242,-11.033753,-3.790242,7.184297,9.448235,2.384746,1,-1.993937
125.682328,-0.310000,-1.516074,0.570118,nan,-12.138287,-0.217709,0.570118,-7.430643,0.570118,6.172490,7.688564,0.582082,1,-1.206074
